timestamp,demand_mw
2023-04-01 00:00:00,155974.082
2023-04-01 01:00:00,152436.569
2023-04-01 02:00:00,148709.301
2023-04-01 03:00:00,147798.035
2023-04-01 04:00:00,150753.69
2023-04-01 05:00:00,156929.209
2023-04-01 06:00:00,162693.189
2023-04-01 07:00:00,165975.339
2023-04-01 08:00:00,168779.866
2023-04-01 09:00:00,176761.519
2023-04-01 10:00:00,179679.382
2023-04-01 11:00:00,179269.843
2023-04-01 12:00:00,177587.375
2023-04-01 13:00:00,172515.869
2023-04-01 14:00:00,172785.246
2023-04-01 15:00:00,173065.311
2023-04-01 16:00:00,170297.787
2023-04-01 17:00:00,166178.762
2023-04-01 18:00:00,166147.971
2023-04-01 19:00:00,172227.114
2023-04-01 20:00:00,166928.648
2023-04-01 21:00:00,163716.123
2023-04-01 22:00:00,162842.119
2023-04-01 23:00:00,160943.682
2023-04-02 00:00:00,158240.04
2023-04-02 01:00:00,155131.697
2023-04-02 02:00:00,152319.581
2023-04-02 03:00:00,152219.403
2023-04-02 04:00:00,154943.301
2023-04-02 05:00:00,159909.523
2023-04-02 06:00:00,163355.622
2023-04-02 07:00:00,165303.562
2023-04-02 08:00:00,168109.863
2023-04-02 09:00:00,173252.968
2023-04-02 10:00:00,174154.815
2023-04-02 11:00:00,173357.328
2023-04-02 12:00:00,170795.377
2023-04-02 13:00:00,166573.62
2023-04-02 14:00:00,164956.573
2023-04-02 15:00:00,163934.958
2023-04-02 16:00:00,160465.957
2023-04-02 17:00:00,156399.737
2023-04-02 18:00:00,158287.471
2023-04-02 19:00:00,168355.224
2023-04-02 20:00:00,164522.312
2023-04-02 21:00:00,161636.216
2023-04-02 22:00:00,161984.3
2023-04-02 23:00:00,160716.942
2023-04-03 00:00:00,157673.572
2023-04-03 01:00:00,154489.02
2023-04-03 02:00:00,151697.865
2023-04-03 03:00:00,150835.102
2023-04-03 04:00:00,153165.11
2023-04-03 05:00:00,160111.68
2023-04-03 06:00:00,168920.378
2023-04-03 07:00:00,171490.659
2023-04-03 08:00:00,175559.781
2023-04-03 09:00:00,184471.296
2023-04-03 10:00:00,186932.859
2023-04-03 11:00:00,186868.685
2023-04-03 12:00:00,183610.458
2023-04-03 13:00:00,178302.804
2023-04-03 14:00:00,178999.849
2023-04-03 15:00:00,179560.17
2023-04-03 16:00:00,178128.775
2023-04-03 17:00:00,173501.471
2023-04-03 18:00:00,174606.846
2023-04-03 19:00:00,181248.252
2023-04-03 20:00:00,175867.279
2023-04-03 21:00:00,172819.512
2023-04-03 22:00:00,171726.068
2023-04-03 23:00:00,169468.438
2023-04-04 00:00:00,166649.186
2023-04-04 01:00:00,163539.651
2023-04-04 02:00:00,160539.956
2023-04-04 03:00:00,159841.509
2023-04-04 04:00:00,160829.197
2023-04-04 05:00:00,163751.828
2023-04-04 06:00:00,170279.403
2023-04-04 07:00:00,174942.175
2023-04-04 08:00:00,178857.541
2023-04-04 09:00:00,186686.968
2023-04-04 10:00:00,188331.29
2023-04-04 11:00:00,187164.411
2023-04-04 12:00:00,186328.932
2023-04-04 13:00:00,181880.091
2023-04-04 14:00:00,183000.065
2023-04-04 15:00:00,183522.755
2023-04-04 16:00:00,180615.773
2023-04-04 17:00:00,175095.677
2023-04-04 18:00:00,175621.657
2023-04-04 19:00:00,183615.946
2023-04-04 20:00:00,178495.038
2023-04-04 21:00:00,175189.259
2023-04-04 22:00:00,174953.07
2023-04-04 23:00:00,172481.463
2023-04-05 00:00:00,169209.97
2023-04-05 01:00:00,166666.955
2023-04-05 02:00:00,163768.461
2023-04-05 03:00:00,163226.945
2023-04-05 04:00:00,164937.001
2023-04-05 05:00:00,170313.397
2023-04-05 06:00:00,176284.286
2023-04-05 07:00:00,177949.383
2023-04-05 08:00:00,179967.896
2023-04-05 09:00:00,186886.032
2023-04-05 10:00:00,188438.301
2023-04-05 11:00:00,188015.37
